,left_ax
24534,-0.6364428000000001
24535,-0.6275883000000001
24536,-0.61623305
24537,-0.60836464
24538,-0.6002803000000001
24539,-0.59152657
24540,-0.5879946999999999
24541,-0.5867872
24542,-0.58690804
24543,-0.58805
24544,-0.5891770000000001
24545,-0.589504
24546,-0.589504
24547,-0.5906812
24548,-0.5872854999999999
24549,-0.5835623000000001
24550,-0.5789791
24551,-0.5710310000000001
24552,-0.56378627
24553,-0.5598464
24554,-0.55594265
24555,-0.5501528
24556,-0.5428374
24557,-0.53627104
24558,-0.52781993
24559,-0.5169744000000001
24560,-0.5046778000000001
24561,-0.49436364
24562,-0.48769313
24563,-0.481656
24564,-0.4768262
24565,-0.4681927
24566,-0.45992228
24567,-0.45165676
24568,-0.4415946
24569,-0.43153247
24570,-0.42713064
24571,-0.4228144
24572,-0.41921213
24573,-0.4202591
24574,-0.4306028
24575,-0.44388312
24576,-0.45329142
24577,-0.46321338
24578,-0.47675642
24579,-0.4982657
24580,-0.5328601
24581,-0.55097383
24582,-0.5278797
24583,-0.5027675
24584,-0.50057685
24585,-0.5251903
24586,-0.54249495
24587,-0.5338478
24588,-0.5332431
24589,-0.55188537
24590,-0.5789890000000001
24591,-0.5891655
24592,-0.55575573
24593,-0.5114814999999999
24594,-0.45687583
24595,-0.3952504000000001
24596,-0.3281208
24597,-0.25418398
24598,-0.1749045
24599,-0.089551196
24600,-0.004271146
24601,0.079088554
24602,0.15973818
24603,0.23620869
24604,0.31109127
24605,0.37285754
24606,0.4167734
24607,0.4413225000000001
24608,0.44785336
24609,0.4398028000000001
24610,0.41909593
24611,0.3873289
24612,0.35109168
24613,0.31498626
24614,0.27945235
24615,0.22727334
24616,0.18527122
24617,0.14734305
24618,0.11009827
24619,0.073471844
24620,0.04598184
24621,0.0546072
24622,0.0586297
24623,0.08023648
24624,0.1313312
24625,0.20160918
24626,0.26255748
24627,0.33975288
24628,0.41323605
24629,0.48096505
24630,0.5502288000000001
24631,0.6302897
24632,0.7132367
24633,0.78547716
24634,0.8375181
24635,0.86447674
24636,0.867664
24637,0.8660704
